classification,code,description,area_ha,percentage_mh
AER 1992,6,"Deccan Plateau, hot semi-arid region",20813900,70.07
AER 1992,19,"Western Ghats and coastal plains, hot humid region",3107031,10.46
AER 1992,10,"Central Highlands (Malwa and Satpura), hot sub-humid region",2955500,9.95
AER 1992,12,"Eastern plateau (Chhattisgarh), hot sub-humid region",2211590,7.45
AER 1992,5,"Central Punjab plains and Kathiawar peninsula, hot arid/semi-arid",461121,1.55
AER 1992,11,"Bundelkhand region, hot sub-humid",155878,0.52
AESR 1999,6.2,"Shallow and medium loamy to clayey Black soils, LGP 90-120 days",7612490,25.63
AESR 1999,6.1,"Deep clayey Black soils, dry semi-arid, LGP 90-120 days",5797460,19.52
AESR 1999,6.3,"Deep clayey Black soils, moist semi-arid, LGP 120-150 days",5103360,17.18
AESR 1999,6.4,"Shallow to deep loamy/clayey mixed Red and Black soils, LGP 120-150 days",2300570,7.74
AESR 1999,12.1,"Eastern plateau (Chhattisgarh), deep clayey Red and Yellow soils, LGP 150-180 days",2211590,7.45
AESR 1999,19.1,"Western Ghats, Sahyadri, humid, LGP 240-270 days",1259150,4.24
AESR 1999,19.2,"Konkan coast, hot humid, LGP 240-270 days",1251280,4.21
AESR 1999,19.3,"West Coast, hot humid, clayey lateral soils, LGP 240-270 days",596598,2.01
